Topic-id,TERM1,TERM2,TERM3,TERM4,TERM5,TERM6,TERM7,TERM8,TERM9,TERM10,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
10,train,5,please,railway,rs,help,2,|092e|0947|0902,irctc,water,0.008,0.008,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.005
8,train,please,refund,look,"sir,",pls,issue,|0930|0947|0932,|0939|0948|0964,varanasi,0.008,0.008,0.008,0.008,0.006,0.006,0.006,0.006,0.006,0.006
37,coach,train,|0939|0948,irctc,days,can,|0915|0940,railway,platform,still,0.009,0.007,0.007,0.007,0.007,0.004,0.004,0.004,0.004,0.004
5,@pmoindia,ticket,can,water,coach,one,clean,|0915|0947,properly.,date.,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.004,0.004,0.004
44,ticket,&amp;,",",irctc,service,even,local,food,refund,tatkal,0.009,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.004,0.004
32,|0915|0940,|0939|0948,|092e|0947|0902,train,&amp;,get,|0938|0930,|091f|094d|0930|0947|0928,|0915|094b,complaint,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.005
11,pls,pnr,train,help,waiting,express,coach,tkt,sir,|092e|0941|091c|092b|094d|092b|0930|092a|0941|0930,0.01,0.008,0.008,0.008,0.007,0.007,0.007,0.005,0.005,0.005
38,pnr,train,toilets,got,take,coach,|091c|0917|0939,can,60,since,0.01,0.01,0.01,0.006,0.006,0.006,0.004,0.004,0.004,0.004
17,ac,reached,train,no.,2,coach,pnr,start,receipt,kanpur,0.01,0.01,0.01,0.01,0.007,0.007,0.007,0.007,0.007,0.007
18,railway,one,water,sir,help,train,please,since,plz,tatkal,0.011,0.009,0.009,0.009,0.009,0.007,0.007,0.007,0.007,0.007
0,train,please,new,&amp;,response,till,late,can,delhi,facing,0.011,0.01,0.007,0.007,0.007,0.007,0.007,0.006,0.004,0.004
25,ac,train,coach,new,.,please,slr,no15901,sealed,@drmnfr_lmg,0.011,0.011,0.009,0.009,0.008,0.006,0.006,0.006,0.006,0.006
42,help,plz,sir,train,tkt,station,waiting,train.,booked,due,0.011,0.011,0.01,0.008,0.006,0.006,0.006,0.006,0.006,0.006
13,food,ac,non,railway,irctc,confirmed,even,",",like,coach,0.011,0.011,0.011,0.009,0.009,0.009,0.008,0.006,0.006,0.006
48,train,please,r,help,no.,can,ladies,water,working,sir,0.012,0.008,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.004
33,please,pnr,train,security,no.,water,bangalore,people,traveling,get,0.012,0.011,0.009,0.007,0.007,0.007,0.007,0.007,0.005,0.005
36,coach,people,please,4,pillow,railway,@pmoindia,train,sir,can,0.014,0.007,0.007,0.005,0.005,0.005,0.005,0.005,0.005,0.005
9,train,frm,ticket,thr,tatkal,n,laptop,2,r,"a3,",0.014,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
34,late,train,please,will,trains,aur,1,today,time.,&amp;,0.014,0.012,0.009,0.007,0.007,0.007,0.005,0.005,0.005,0.005
29,pnr,train,railway,help,get,please,ticket,clss,service,1,0.014,0.012,0.01,0.008,0.008,0.008,0.008,0.006,0.006,0.006
19,train,please,birth,pnr,.,1,"sir,",encl.,checking,body,0.015,0.009,0.009,0.007,0.005,0.004,0.004,0.004,0.004,0.004
49,train,get,can,station,travelling,railway,lwr,",",suffering,se,0.015,0.01,0.01,0.008,0.006,0.006,0.006,0.006,0.006,0.006
12,|0938|0947,plz,|092e|0947|0902,|0915|0947,train,station,tatkal,|0939|094b,ticket,rs,0.015,0.014,0.01,0.01,0.009,0.009,0.009,0.009,0.007,0.007
45,train,sir,platform,get,pnr,help,station,r,express,id,0.016,0.009,0.006,0.006,0.006,0.006,0.005,0.004,0.004,0.004
28,&amp;,n,2,toilet,passengers,still,1,one,sir,01/02/16,0.017,0.01,0.01,0.007,0.007,0.007,0.007,0.007,0.007,0.007
39,train,one,dirty,pnr,help,|0939|0948,used,no.,coach,drm,0.017,0.011,0.009,0.009,0.007,0.007,0.007,0.007,0.006,0.005
6,train,please,sir,coach,plz,2,pnr,ticket,tatkal,no.,0.017,0.011,0.011,0.01,0.009,0.008,0.007,0.007,0.006,0.006
7,train,ticket,action,sir,"sir,",pune,passengers,water,late,will,0.017,0.013,0.009,0.008,0.006,0.006,0.006,0.006,0.006,0.006
14,|0915|093e,|0930|0941,train,|092a|0942|0930|094d|0923|093f|092f|093e,|0915|094b,2,t.c,|092c|0921|093c|0940,pnr,|092e|0947|0902,0.018,0.014,0.009,0.009,0.009,0.007,0.007,0.007,0.005,0.005
30,train,ac,:,get,ticket,coach,n,tkt.,plz,refund,0.018,0.014,0.011,0.009,0.009,0.009,0.009,0.007,0.007,0.007
22,train,late,please,sir,running,coach,no.,station,help,passenger,0.018,0.017,0.017,0.01,0.01,0.01,0.008,0.008,0.007,0.006
24,train,2,n,&amp;,ac,late,coach,no.,nt,travelling,0.019,0.011,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.006
2,train,ac,coach,|091f|094d|0930|0947|0928,please,",",pnr,really,take,no.,0.019,0.013,0.011,0.007,0.007,0.007,0.007,0.006,0.006,0.006
4,please,train,station,tickets,will,help,it.,&amp;,12554,late,0.019,0.014,0.012,0.012,0.009,0.007,0.007,0.006,0.005,0.005
40,train,need,sir,luggage,pnr,no.,seat,bad,time,lal,0.02,0.009,0.007,0.007,0.007,0.007,0.007,0.007,0.004,0.004
27,train,ticket,help,need,please,get,sir,pnr,water,plz,0.02,0.015,0.013,0.012,0.01,0.01,0.009,0.007,0.007,0.007
47,&amp;,train,ac,passengers,coach,just,working,|0915|0940,due,many,0.02,0.02,0.01,0.008,0.007,0.007,0.007,0.007,0.007,0.007
3,train,last,2,trying,tatkal,railway,help,will,unable,ticket,0.021,0.012,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.005
21,train,ticket,booked,water,coach,pls,help.,people,help,since,0.021,0.015,0.011,0.008,0.008,0.008,0.008,0.008,0.006,0.006
43,train,ticket,coach,one,2,travelling,&amp;,late.,tckt,help,0.022,0.009,0.007,0.007,0.007,0.007,0.005,0.005,0.005,0.005
41,fir,lodged,vide,u/s,"sir,",cr.no.,379,&amp;,ticket,train,0.022,0.02,0.02,0.018,0.018,0.015,0.015,0.013,0.009,0.009
31,train,railway,-,plz,without,pnr,can,n,|0915|0940,late,0.023,0.013,0.008,0.008,0.008,0.008,0.008,0.008,0.006,0.006
46,train,water,wasted,ltt(mumbai).,action,taken,station,seat,pnr,tatkal,0.024,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.006
15,train,water,sir,coach,ticket,suvidha,pnr,refund,please,travelling,0.025,0.01,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.006
35,coach,train,n,water,toilet,|0928|0939|0940|0902,working,ac,one,sir,0.026,0.018,0.013,0.009,0.009,0.007,0.007,0.007,0.006,0.006
20,train,no.,n,coach,help,plz,sir,water,9.6.16,ticket,0.033,0.009,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007
26,train,pnr,late,sir,station,taken,help,ladies,old,line,0.034,0.011,0.008,0.007,0.005,0.005,0.005,0.005,0.005,0.005
16,train,please,coach,number,|0939|0948,running,b2,pnr,time,|091c|094b,0.035,0.009,0.009,0.009,0.007,0.007,0.007,0.005,0.005,0.005
23,train,time,coach,u,jn,will,railway,express,still,r,0.036,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.007,0.005
1,train,coach,water,no.,sir,please,charging,toilets,2,dirty,0.037,0.025,0.02,0.018,0.016,0.012,0.008,0.007,0.007,0.006
